global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
9101.724274933997	n/a	n/a	82841384.77692279	11172.98297517847	n/a	n/a	124835548.56362791	7052.393806793811	n/a	49736258.40610369	n/a	7054.9143206378785	11399.472450172087	n/a	n/a	n/a	n/a	-0.1382017779	0.3169336524	0.13990853279999999	-0.8424131909999999	0.0761493416	-0.039527937799999996	0.25748461079999996	-0.2240655718	0.09554034210000001	-0.0413222879	0.3006951913	-0.0248543222	0.3218037638	-0.2270121334	-0.1350471799	-0.0601147132	0.117860991	-0.3324988619	-0.2721244246	0.1546301601	-0.061925905	0.4546455443	-0.08466588929999999	0.44738046270000004	-0.0492564379	0.0627791605	-0.1119232334	-0.156448224	0.2191650993	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.07403580000000001	n/a	0.0054812996816400025	n/a	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0
9016.712116694107	-85.01215823988969	7227.067048604043	81301097.39533833	10820.13510611615	-352.8478690623197	124501.61870181988	117075323.71460712	7042.5086792209595	-9.88512757285116	49596928.49690254	97.71574713154229	7041.431182720371	11103.792658236624	1.039161	39.551819	0.008092399999999998	0.008092429999999998	-0.0889293132	0.299338936	0.0620985271	-0.38523228880000004	-0.1120957549	0.0366505088	-0.1951403534	-0.23922501629999998	0.0591921805	0.14803507119999998	0.11739712390000001	0.144381692	0.1575725069	0.024201055200000002	0.1873952157	0.0449098821	0.18736247530000005	-0.08412994900000001	-0.256566141	0.0749100402	0.1433965022	0.15498751970000002	-0.2127759122	0.13214736300000002	0.12989457140000002	-0.0860414317	0.2294780983	-0.11477257699999999	0.0288628548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0821282	0.008092399999999986	0.00674504123524	6.548693775999977e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8964.721320199516	-51.99079649459054	2703.042920141928	80366228.34883976	10646.051527722446	-174.08357839370362	30305.09226635676	113338413.13092142	7026.075155407999	-16.433523812960633	49365732.08944154	270.0607049111441	7023.378028578207	10890.463709526191	0.955325	36.36092	0.023257799999999995	0.0232575	-0.09478012039999999	0.1338929785	-0.1791658055	-0.14269547900000001	-0.06498032769999999	-0.0323086048	-0.3795644044	-0.2015011912	0.0131051695	-0.0571979104	0.0785780417	-0.0194136644	-0.09356136050000001	-0.0827208869	-0.027334212400000002	-0.0175734667	0.18541550739999998	-0.1672933422	-0.21157720800000002	0.0113846277	-0.0595424024	0.0768887761	0.0194131154	0.017368976	-0.1378543511	0.0063834658	0.0276096448	-0.19452660859999998	0.1223134681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105386	0.023257799999999995	0.011106208996	0.0005409252608399998	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8940.68299786978	-24.038322329735824	577.8409404282758	79935812.46839777	10596.223684142868	-49.82784357957826	2482.813995790918	112279956.36439024	7008.325366624171	-17.749788783828077	49116624.44446782	315.0550018705091	7005.02827044648	10656.040408959769	0.910037	34.637192	0.00533900000000001	0.00533925	-0.08445909789999999	0.0412106115	-0.2379966862	-0.058523966399999995	-0.0094269626	0.0684850264	-0.1368247758	-0.15401513349999998	-0.0076220082	0.0739734773	-0.2432852184	0.0594621716	0.4163470975	-0.0498645819	-0.223900708	-0.1312315849	-0.17273315120000002	-0.198106487	-0.1535875567	-0.0130156807	0.0601358944	-0.1824647032	-0.120325683	0.3546229065	0.1453188994	-0.0152648127	-0.2806532077	0.2101935121	0.1340412306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.110725	0.00533900000000001	0.012260025625	2.850492100000011e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8938.590999227623	-2.091998642157705	4.376458318789681	79898409.05147308	10551.279961746917	-44.94372239595032	2019.9381828042458	111329508.83116202	7007.4324487659605	-0.8929178582102395	49104109.52401811	0.7973023015107614	7004.916203378354	10547.331094012541	0.950266	36.168362	0.0005890000000000063	0.000588594	0.1180522917	0.055234164100000004	-0.3281119588	0.0126517818	-0.0907247615	0.0387933998	-0.1635169692	-0.0257332387	0.16107003179999999	0.1178214421	-0.3604020979	0.12414991380000001	-0.09535738740000001	0.1422503578	0.0321449287	0.2747466723	0.1284243583	0.32727477050000003	-0.0268010063	0.1585681587	0.1064410091	-0.36921458700000004	-0.1263171909	-0.045487089800000005	0.0797527525	0.1619168439	0.26913271629999996	-0.0525032134	-0.31333597469999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11013599999999997	-0.0005890000000000201	0.012129938495999996	3.469210000000236e-07	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8958.552105556793	19.961106329170434	398.445765884448	80255655.82797605	10506.250259225908	-45.02970252100931	2027.6741091305926	110381294.50948444	7012.3897394690075	4.957290703046965	49173609.85821021	24.574731114515878	7009.034297557562	10557.096062391647	0.973138	37.03891	0.005362999999999993	0.00536364	-0.0762007271	-0.1456131816	-0.37254863039999997	0.051197880999999994	0.1401981025	-0.1862026472	-0.20089981489999997	-0.1322456961	-0.0025676095	-0.3046685021	-0.3558366524	0.1500829017	0.0805614596	0.09749822779999999	0.036144668399999996	-0.08716722710000001	-0.19835242420000002	0.0517759382	-0.1294269438	-0.0044551391	-0.3007123861	-0.3646741511	-0.1296439532	0.0178778884	0.1022972498	-0.10148741039999999	-0.1164367633	0.118508628	0.0507362011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104773	-0.005362999999999979	0.010977381529	2.8761768999999768e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8996.025535075318	37.47342951852442	1404.2579198798178	80928475.42772716	10520.355721954229	14.105462728321074	198.9640787800549	110677884.51645508	7024.342417588479	11.952678119471786	49341386.39953277	142.86651422769955	7019.103014199222	10690.328437909222	0.949855	36.152725	0.010966559999999992	0.00793433	-0.21421826670000002	-0.0808906996	-0.1164056461	0.062057450099999995	0.2451763914	-0.0203854078	-0.0738763457	-0.1789853386	-0.1411480658	0.0913316232	-0.002662876	-0.0696600013	0.1045091892	0.2432711085000001	-0.0102903989	0.13240371199999998	-0.0781993352	0.1152881005	-0.1623071091	-0.1660998423	0.08721990439999999	-0.0363695675	0.0844376173	-0.064660324	0.259229475	0.11740982960000006	0.0298624059	0.1508762587	-0.0487487895	0.0	0.0	0.0	0.0	0.00667056	0.00667056	4.44963707136e-05	4.44963707136e-05	0.109069	0.004295999999999993	0.011896046761000001	1.845561599999995e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9000.658584363167	4.633049287849643	21.465145703644094	81011854.95227037	10529.701774366577	9.346052412347492	87.34869569434633	110874619.45709863	7036.9969202293705	12.654502640891225	49519325.65531765	160.13643708832296	7031.651023597361	10868.734212199362	0.933304	35.522755	0.015036559999999997	0.0106999	-0.119530977	0.1590358396	0.0268039734	0.056246766399999995	0.0846617386	0.1534259362	0.021788290699999997	-0.1901277749	-0.021590526000000002	0.0812850199	0.1182962622	-0.2176108882	0.0847912376	0.052026167000000005	0.32772604850000003	0.029895867599999997	-0.11303653550000001	0.4807376162	-0.1753643865	-0.042336225899999996	0.09360689539999999	0.0788117291	0.2079918687	-0.07918111309999999	0.1251851661	-0.20661526600000002	0.1891617675	0.24441333329999998	-0.37331986659999994	0.0	0.0	0.0	0.0	0.0	-0.00667056	0.0	4.44963707136e-05	0.100703	-0.008365999999999998	0.010141094209	6.998995599999997e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8977.823833443234	-22.83475091993387	521.4258495754206	80601320.78434135	10490.153910471308	-39.54786389526817	1564.0335386786553	110043329.06537648	7033.781496646564	-3.21542358280658	49474082.14256758	10.3389488168687	7028.586044323044	10896.494044678802	0.936564	35.646854	0.003742999999999996	0.00374271	-0.15603997	0.13374103380000002	-0.025840338100000002	0.07887463	0.025049150699999998	0.0366118736	-0.1057000977	-0.1878583882	0.0060095803	0.0417679429	0.1209848266	-0.4084067789	-0.2812758685	-0.0306444759	0.1868920191	-0.1590066723	0.1240743423	-0.1267245477	-0.1794985905	-0.0254639977	0.0583330455	0.10073239560000001	0.4576799214	-0.1549469848	-0.1441928877	-0.19281253350000002	0.1102168473	-0.1766848796	0.09696749060000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104446	0.003742999999999996	0.010908966916	1.4010048999999973e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8957.292294925208	-20.53153851802563	421.54407391717	80233085.2567265	10520.589638185304	30.435727713995217	926.3335214804567	110682806.33509198	7025.106177185298	-8.675319461265644	49352116.80072703	75.26116775501444	7020.272124012384	10773.308718232343	0.961795	36.60717	0.003238000000000005	0.00323841	0.018484118	0.1916855935	-0.056135711399999996	0.05644551320000001	-0.056613237999999996	0.19805314579999997	-0.1795235013	-0.0662270036	0.1532061685	0.2742489566	-0.1817215468	0.0239815034	0.1217833073	-0.12285908529999999	0.0657322566	-0.0963726435	0.2091667419	0.05535208639999999	-0.0631574159	0.12952256939999998	0.2832542772	-0.1735916446	-0.030318044199999998	0.1655035058	-0.0590652739	-0.1341460371	-0.0081888595	-0.1377763134	-0.1389069127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107684	0.003237999999999991	0.011595843855999998	1.048464399999994e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
